iter	Passed	Remaining
554	4884	3916
555	4892	3906
556	4901	3898
557	4910	3889
558	4918	3880
559	4926	3870
560	4935	3862
561	4944	3853
562	4952	3844
563	4960	3834
564	4968	3825
565	4977	3816
566	4985	3807
567	4995	3799
568	5003	3789
569	5011	3780
570	5019	3771
571	5028	3762
572	5037	3754
573	5046	3745
574	5054	3736
575	5063	3727
576	5071	3718
577	5080	3709
578	5088	3699
579	5096	3690
580	5105	3681
581	5113	3672
582	5122	3663
583	5130	3654
584	5139	3646
585	5147	3636
586	5156	3627
587	5164	3618
588	5172	3609
589	5181	3600
590	5190	3591
591	5198	3582
592	5207	3573
593	5216	3565
594	5224	3556
595	5233	3547
596	5241	3538
597	5249	3529
598	5258	3520
599	5267	3511
600	5275	3502
601	5283	3493
602	5292	3484
603	5300	3475
604	5309	3466
605	5317	3457
606	5326	3448
607	5334	3439
608	5343	3430
609	5351	3421
610	5360	3412
611	5368	3403
612	5378	3395
613	5386	3386
614	5394	3377
615	5403	3368
616	5411	3359
617	5421	3350
618	5429	3341
619	5437	3332
620	5446	3323
621	5454	3314
622	5462	3305
623	5471	3296
624	5479	3287
625	5488	3278
626	5496	3270
627	5505	3261
628	5515	3253
629	5525	3245
630	5535	3236
631	5545	3228
632	5554	3220
633	5563	3211
634	5574	3204
635	5584	3195
636	5593	3187
637	5603	3179
638	5612	3170
639	5623	3162
640	5633	3155
641	5643	3147
642	5653	3138
643	5663	3130
644	5673	3122
645	5683	3114
646	5693	3106
647	5703	3098
648	5713	3090
649	5723	3082
650	5734	3074
651	5743	3065
652	5753	3057
653	5763	3049
654	5773	3040
655	5784	3033
656	5793	3024
657	5804	3016
658	5814	3008
659	5824	3000
660	5835	2992
661	5845	2984
662	5856	2976
663	5867	2969
664	5877	2961
665	5888	2953
666	5899	2945
667	5908	2936
668	5919	2928
669	5928	2919
670	5938	2911
671	5948	2903
672	5957	2894
673	5967	2886
674	5976	2877
675	5986	2869
676	5996	2860
677	6005	2852
678	6016	2844
679	6025	2835
680	6035	2827
681	6046	2819
682	6055	2810
683	6065	2802
684	6074	2793
685	6084	2784
686	6094	2776
687	6105	2768
688	6119	2762
689	6132	2755
690	6143	2747
691	6153	2738
692	6163	2730
693	6173	2721
694	6183	2713
695	6193	2705
696	6203	2696
697	6213	2688
698	6223	2679
699	6233	2671
700	6244	2663
701	6253	2654
702	6263	2646
703	6272	2637
704	6282	2628
705	6292	2620
706	6302	2611
707	6312	2603
708	6323	2595
709	6333	2586
710	6343	2578
711	6353	2569
712	6361	2560
713	6371	2552
714	6382	2543
715	6391	2535
716	6400	2526
717	6411	2518
718	6420	2509
719	6430	2500
720	6441	2492
721	6450	2483
722	6460	2475
723	6470	2466
724	6480	2458
725	6491	2449
726	6500	2441
727	6510	2432
728	6520	2423
729	6530	2415
730	6541	2407
731	6551	2398
732	6561	2389
733	6571	2381
734	6580	2372
735	6590	2364
736	6599	2355
737	6609	2346
738	6618	2337
739	6628	2328
740	6638	2320
741	6647	2311
742	6657	2302
743	6666	2293
744	6676	2285
745	6686	2276
746	6696	2267
747	6706	2259
748	6715	2250
749	6725	2241
750	6735	2233
751	6744	2224
752	6754	2215
753	6764	2206
754	6774	2198
755	6784	2189
756	6793	2180
757	6803	2172
758	6813	2163
759	6822	2154
760	6832	2145
761	6842	2137
762	6852	2128
763	6862	2119
764	6872	2111
765	6882	2102
766	6893	2093
767	6904	2085
768	6914	2076
769	6924	2068
770	6940	2061
771	6952	2053
772	6962	2044
773	6975	2036
774	6985	2028
775	6997	2019
776	7006	2010
777	7015	2001
778	7026	1993
779	7035	1984
780	7044	1975
781	7055	1966
782	7065	1958
783	7075	1949
784	7086	1940
785	7096	1932
786	7106	1923
787	7116	1914
788	7126	1905
789	7136	1897
790	7146	1888
791	7156	1879
792	7167	1870
793	7177	1862
794	7187	1853
795	7198	1844
796	7207	1835
797	7218	1827
798	7229	1818
799	7238	1809
800	7249	1801
801	7258	1791
802	7268	1783
803	7278	1774
804	7287	1765
805	7297	1756
806	7307	1747
807	7317	1738
808	7328	1730
809	7337	1721
810	7348	1712
811	7357	1703
812	7367	1694
813	7377	1685
814	7387	1676
815	7397	1667
816	7405	1658
817	7416	1650
818	7426	1641
819	7435	1632
820	7445	1623
821	7453	1614
822	7464	1605
823	7474	1596
824	7484	1587
825	7495	1578
826	7504	1569
827	7514	1560
828	7523	1551
829	7533	1542
830	7542	1533
831	7551	1524
832	7560	1515
833	7569	1506
834	7578	1497
835	7588	1488
836	7597	1479
837	7607	1470
838	7616	1461
839	7625	1452
840	7635	1443
841	7645	1434
842	7655	1425
843	7664	1416
844	7675	1407
845	7684	1398
846	7694	1389
847	7704	1380
848	7713	1371
849	7723	1362
850	7732	1353
851	7741	1344
852	7751	1335
853	7761	1326
854	7771	1317
855	7781	1309
856	7790	1299
857	7800	1291
858	7810	1281
859	7820	1273
860	7829	1263
861	7838	1254
862	7848	1245
863	7857	1236
864	7867	1227
865	7877	1218
866	7888	1210
867	7897	1201
868	7907	1192
869	7917	1183
870	7927	1174
871	7938	1165
872	7948	1156
873	7959	1147
874	7970	1138
875	7980	1129
876	7992	1120
877	8003	1112
878	8013	1103
879	8023	1094
880	8034	1085
881	8044	1076
882	8054	1067
883	8063	1058
884	8074	1049
885	8084	1040
886	8093	1031
887	8103	1022
888	8112	1012
889	8122	1003
890	8132	994
891	8141	985
892	8151	976
893	8160	967
894	8170	958
895	8180	949
896	8190	940
897	8200	931
898	8209	922
899	8220	913
900	8230	904
901	8240	895
902	8250	886
903	8259	877
904	8270	868
905	8279	859
906	8289	849
907	8300	840
908	8309	831
909	8319	822
910	8329	813
911	8340	804
912	8357	796
913	8371	787
914	8387	779
915	8409	771
916	8424	762
917	8448	754
918	8465	746
919	8478	737
920	8497	728
921	8506	719
922	8516	710
923	8528	701
924	8538	692
925	8549	683
926	8560	674
927	8571	665
928	8582	655
929	8594	646
930	8604	637
931	8614	628
932	8625	619
933	8636	610
934	8646	601
935	8656	591
936	8667	582
937	8678	573
938	8688	564
939	8699	555
940	8711	546
941	8722	537
942	8733	527
943	8745	518
944	8758	509
945	8770	500
946	8782	491
947	8792	482
948	8802	473
949	8812	463
950	8822	454
951	8832	445
952	8843	436
953	8852	426
954	8862	417
955	8872	408
956	8882	399
957	8892	389
958	8902	380
959	8914	371
960	8924	362
961	8934	352
962	8944	343
963	8954	334
964	8964	325
965	8974	315
966	8984	306
967	8997	297
968	9008	288
969	9018	278
970	9034	269
971	9045	260
972	9058	251
973	9070	242
974	9082	232
975	9093	223
976	9103	214
977	9113	205
978	9123	195
979	9132	186
980	9143	177
981	9153	167
982	9164	158
983	9175	149
984	9186	139
985	9195	130
986	9205	121
987	9214	111
988	9225	102
989	9235	93
990	9245	83
991	9255	74
992	9264	65
993	9275	55
994	9284	46
995	9294	37
996	9305	27
997	9313	18
998	9324	9
999	9334	0
